No;Product Name;SKU;Price (IDR);Rating;Total Reviews;Description;Specifications;Product URL
30;HP Pavilion Aero 13.3 inch Laptop 13-bg0222AU, Blue;N/A;12659000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-pavilion-aero-laptop-13-bg0222au-a0dh3pa.html
31;HP Pavilion Aero 13.3 inch Laptop 13-bg0111AU, Silver;N/A;12659000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-pavilion-aero-laptop-13-bg0111au-a0dh2pa.html
32;HP Victus 15.6 inch Gaming Laptop 15-fb2666AX, Silver;N/A;13999000;N/A;N/A;;;https://www.hp.com/id-id/shop/victus-gaming-laptop-15-fb2666ax-a4ty4pa-1.html
33;HP Pavilion Aero 13.3 inch Laptop 13-bg0888AU, Blue;N/A;14059000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-pavilion-aero-laptop-13-bg0888au-a0dh5pa.html
34;HP Pavilion Aero 13.3 inch Laptop 13-bg0777AU, Silver;N/A;14059000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-pavilion-aero-laptop-13-bg0777au-a0dh4pa.html
35;HP Victus 15 inch Gaming Laptop 15-fb2556AX, Blue;N/A;15609000;N/A;N/A;;;https://www.hp.com/id-id/shop/victus-gaming-laptop-15-fb2556ax-a4ty2pa.html
36;HP Victus 15 inch Gaming Laptop 15-fb2557AX, White;N/A;15799000;N/A;N/A;;;https://www.hp.com/id-id/shop/victus-gaming-laptop-15-fb2557ax-a4um4pa.html
37;HP Victus 15.6 inch Gaming Laptop 15-fb2999AX, Silver;N/A;15809000;N/A;N/A;;;https://www.hp.com/id-id/shop/victus-gaming-laptop-15-fb2999ax-a4tz2pa.html
38;HP Victus 15 inch Gaming Laptop 15-fb2555AX, Silver;N/A;15899000;N/A;N/A;;;https://www.hp.com/id-id/shop/victus-gaming-laptop-15-fb2555ax-a4ty1pa.html
39;HP Victus 15.6 inch Gaming Laptop 15-fb2997AX, Blue;N/A;15899000;N/A;N/A;;;https://www.hp.com/id-id/shop/victus-gaming-laptop-15-fb2997ax-a4tz0pa.html
40;HP Pavilion x360 14 inch 2-in-1 Laptop 14-ek2777TU, Silver + POLY BW 3220 USB-C HS USB-C/A;N/A;16274000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-pavilion-x360-2-in-1-laptop-14-ek2777tu-9x3c8pa-1.html
41;HP Envy x360 14 inch 2-in-1 Laptop 14-fc0666TU, Blue;N/A;16609000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-envy-x360-2-in-1-laptop-14-fc0666tu-a03gwpa.html
42;HP Victus 15 inch Gaming Laptop 15-fb2111AX, Silver;N/A;17109000;N/A;N/A;;;https://www.hp.com/id-id/shop/victus-gaming-laptop-15-fb2111ax-a4tx8pa.html
43;HP Victus 16 inch Gaming Laptop 16-r0555TX, Silver;N/A;17458999;N/A;N/A;;;https://www.hp.com/id-id/shop/victus-gaming-laptop-16-r0555tx-b01bqpa.html
44;HP Envy x360 14 inch 2-in-1 Laptop 14-fc0555TU, Silver + HP P24v G5 FHD MNTR INDO;N/A;18027000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-envy-x360-2-in-1-laptop-14-fc0555tu-a03gvpa-2.html
45;HP OmniBook X 14 inch Laptop 14-fe0333QU Next Gen AI PC, Silver;N/A;19999000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-omnibook-x-laptop-14-fe0333qu-a9rm7pa.html
46;HP Victus 16 inch Gaming Laptop 16-r0777TX, Silver;N/A;20558999;N/A;N/A;;;https://www.hp.com/id-id/shop/victus-gaming-laptop-16-r0777tx-b01bzpa.html
47;HP Envy x360 14 inch 2-in-1 Laptop 14-fc0888TU, Blue + HP P24v G5 FHD MNTR INDO;N/A;22179000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-envy-x360-2-in-1-laptop-14-fc0888tu-9w3g5pa-2.html
48;HP Envy x360 14 inch 2-in-1 Laptop 14-fa0888AU, Silver + HP P24v G5 FHD MNTR INDO;N/A;23679000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-envy-x360-2-in-1-laptop-14-fa0888au-9x3e6pa-2.html
49;HP Victus 16 inch Gaming Laptop 16-s1776AX, White;N/A;24849000;N/A;N/A;;;https://www.hp.com/id-id/shop/victus-gaming-laptop-16-s1776ax-a4uc8pa.html
50;HP Victus 16 inch Gaming Laptop 16-s1777AX, Silver + HyperX Cloud Earbuds II RED Gaming Earbuds with Mic;N/A;25548000;N/A;N/A;;;https://www.hp.com/id-id/shop/victus-gaming-laptop-16-s1777ax-a4ue6pa-1.html
